"OBJECTID","CNN","STREETNAME","FROM_ST","TO_ST","FACILITY_T","DIRECT","SURFACE_TR","BARRIER","NOTES","DIR","DOUBLE","FY","QTR","STREET_","LENGTH","NUMBER_","INSTALL_MO","UPDATE_YR","UPDATE_MO","INSTALL_YR","GLOBALID","SYMBOLOGY","SHARROW","BUFFERED","RAISED","CONTRAFLOW","GREENWAVE","BIAP","SM_SWEEPER","shape","RECOMMENDATION"
"859","377000","7TH ST","TOWNSEND ST","KING ST","CLASS IV","2W",,"PARKING; SAFE-HIT POSTS",,"N","0","0","0","7th St","0.06612726","23",,"2,019","7","2006",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.401656681 37.771817126, -122.400804277 37.771137788)","3"
"948","10613101","PORTOLA DR","GLENVIEW DR","TWIN PEAKS BLVD","CLASS IV","2W",,"SAFE-HIT POSTS",,"E","1","0","0","Portola Dr","0.17828296","45",,"0",,"2011",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","N/A","LINESTRING (-122.447786106 37.746438159, -122.447865628 37.746346742, -122.448863524 37.74610661, -122.449697917 37.745950735, -122.450483238 37.745819346, -122.450736729 37.745754638, -122.450852984 37.745825832)","3"
"3432","549101","13TH ST","TRAINOR ST","HARRISON ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"E",,"2,017","4","13th St","0.06079232","0","5",,,"2017",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.413385238 37.769502005, -122.413468787 37.769498307, -122.414125129 37.769523259, -122.414494438 37.769535777)","3"
"5046","13059000","VALENCIA ST","SPARROW ST","16TH ST","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS","CR implemented 8/2023; SR implemented 5/2025","S","1","0","0","Valencia St","0.05557076","45",,"2,025","5","2005",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","N/A","LINESTRING (-122.421964312 37.765720755, -122.421886446 37.764917378)","3"
"3273","7530201","JOHN F KENNEDY DR","STANYAN ST","UNNAMED #133","CLASS IV","2W",,"SAFE-HIT POSTS",,"W","1","0","0","John F Kennedy Dr","0.05766187","65",,"2,021","1","2005",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.453979523 37.771428395, -122.454932132 37.771071719)","3"
"3552","5683000","FOLSOM ST","11TH ST","NORFOLK ST","CLASS IV","2W","GREEN PAINT; GREEN-BACKED SHARROWS","PARKING; SAFE-HIT POSTS",,"E","1","0","0","Folsom St","0.04183031","30",,"2,018","3","1971",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","YES","LINESTRING (-122.414026707 37.771863707, -122.414526088 37.771404651)","3"
"2944","7043000","HOWARD ST","6TH ST","HARRIET ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"W","0","0","0","Howard St","0.04108055","30",,"2,018","12","1997",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","N/A","LINESTRING (-122.407159488 37.779738906, -122.407691083 37.779318461)","3"
"3796","5674000","FOLSOM ST","LANGTON ST","HALLAM ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"E","0","2,014","0","Folsom St","0.03583271","30",,"2,018","1","2002",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.408380113 37.776318387, -122.40884575 37.775953229)","3"
"4294","13070000","VALENCIA ST","HILL ST","22ND ST","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS","CR implemented 8/2023; SR implemented 5/2025","N","0","0","0","Valencia St","0.0558181","45",,"2,025","5","2001",,"SEPARATED BIKEWAY","0","NO","NO","NO","YES","NO","NO","LINESTRING (-122.421041141 37.756101806, -122.420964092 37.755294782)","3"
"503","2802101","BAYSHORE BLVD","INDUSTRIAL ST","HELENA ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"N","1","0","0","Bayshore Blvd","0.11485607","70",,"2,023","9","2012",,"SEPARATED BIKEWAY","2","NO","NO","NO","NO","NO","YES","LINESTRING (-122.406910504 37.737965867, -122.406703836 37.736308604)","3"
