"OBJECTID","ADDRESS","LOCATION","STREET","PLACEMENT","RACKS","SPACES","GLOBALID","INSTALL_YR","INSTALL_MO","LAT","LON","shape","data_as_of","data_loaded_at","analysis_neighborhood","supervisor_district"
"12554","730 Taraval","Safeway","Taraval","SIDEWALK","2","4",,"2019","12","37.74313562","-122.47392318","POINT (-122.473923176 37.743135617)","2020 Jan 31 02:21:38 PM","2024 Jun 17 10:17:16 AM","West of Twin Peaks","7"
"9480","3800 24TH ST","24 Hour Fitness Fit Lite","24TH","SIDEWALK","2","4",,"2010","0","37.75192","-122.427672","POINT (-122.427671795 37.751920006)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Noe Valley","8"
"21413","3732 Geary","vacant","Geary","SIDEWALK","1","2",,"2024","2",,,,"2024 Jan 05 02:11:47 PM","2024 Jun 17 10:17:16 AM",,
"12527","521 Francisco Street","Fougeron Architecture","Francisco Street","SIDEWALK","3","6",,"2019","12","37.80462254","-122.41385441","POINT (-122.413854407 37.804622537)","2020 Jan 31 02:21:38 PM","2024 Jun 17 10:17:16 AM","North Beach","3"
"13480","4499 Kirkham",,"Kirkham","SIDEWALK","2","4",,"2020","2",,,"POINT (-122.508714633 37.756751697)","2020 Jun 19 01:18:28 PM","2024 Jun 17 10:17:16 AM","Sunset/Parkside","4"
"11274","130 CHURCH ST","Golden Natural Foods","CHURCH","SIDEWALK","2","4",,"2011","8","37.768849","-122.42943","POINT (-122.429429793 37.768849005)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Castro/Upper Market","8"
"14238","1590 7th Avenue","Garden For The Environment","7th Avenue","SIDEWALK","3","6",,"2021","5",,,"POINT (-122.3940791 37.765759609)","2021 Dec 29 04:46:38 PM","2024 Jun 17 10:17:16 AM","Mission Bay","10"
"20400","1200 Masonic Ave","Coffee to the People","Masonic Ave","SIDEWALK","2","4",,"2022","12",,,"POINT (-122.445336667 37.770114191)","2023 Feb 03 03:09:05 PM","2024 Jun 17 10:17:16 AM","Haight Ashbury","5"
"8827","524 Post Street","The Olympic Club","Post Street","SIDEWALK","2","4",,"2019","2","0","0","POINT (-122.41098523 37.788251709)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Nob Hill","3"
"13880","191 Belvedere Street",,"Belvedere Street","SIDEWALK","1","2",,"2020","10",,,"POINT (-122.449146991 37.76717774)","2020 Dec 31 12:11:27 PM","2024 Jun 17 10:17:16 AM","Haight Ashbury","8"
"8818","1200 Irving Street","Andronico Supermarket","Irving Street","SIDEWALK","2","4",,"2018","2","0","0","POINT (-122.471168059 37.764348881)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Inner Sunset","7"
"14374","638 Broadway","Cold Drinks Bar","Broadway","SIDEWALK","2","4",,"2021","12",,,"POINT (-122.407675164 37.797750565)","2021 Dec 29 04:46:38 PM","2024 Jun 17 10:17:16 AM","Chinatown","3"
